sample_id,depth_mm,age_BP,d18O,d18O_prec,Mg_Ca,Mg_Ca_prec
379602,46.1,15087,0.01,0.08,17.02926,NA
379603,46.2,15096,-0.05,0.08,17.04127,NA
379604,46.3,15105,0.1,0.08,17.01904,NA
379605,46.4,15114,0.05,0.08,18.03787,NA
379606,46.5,15123,0.15,0.08,18.56237,NA
379607,46.6,15132,0.06,0.08,18.26282,NA
379608,46.7,15141,0.06,0.08,18.45895,NA
379609,46.8,15150,-0.05,0.08,18.68333,NA
379610,46.9,15159,-0.01,0.08,17.58787,NA
379611,47,15168,-0.04,0.08,18.57154,NA
379612,47.1,15177,-0.08,0.08,17.56368,NA
379613,47.2,15185,-0.2,0.08,17.9822,NA
379614,47.3,15194,-0.22,0.08,18.04725,NA
379615,47.4,15203,-0.13,0.08,17.52004,NA
379616,47.5,15212,-0.1,0.08,16.80359,NA
379617,47.6,15221,-0.35,0.08,16.63908,NA
379618,47.7,15229,-0.57,0.08,16.90084,NA
379619,47.8,15238,-0.62,0.08,14.36986,NA
379620,47.9,15247,-0.72,0.08,14.90888,NA
379621,48,15256,-0.45,0.08,15.15148,NA
379622,48.1,15264,-0.28,0.08,15.77943,NA
379623,48.2,15273,-0.13,0.08,16.86486,NA
379624,48.3,15282,-0.15,0.08,16.74094,NA
379625,48.4,15291,-0.33,0.08,16.25065,NA
379626,48.5,15299,-0.03,0.08,17.43663,NA
379627,48.6,15308,0.04,0.08,18.20331,NA
379628,48.7,15317,0.02,0.08,18.52951,NA
379629,48.8,15325,-0.04,0.08,19.2049,NA
379630,48.9,15334,-0.07,0.08,17.64007,NA
379631,49,15343,-0.13,0.08,16.88354,NA
379632,49.1,15351,-0.24,0.08,17.78118,NA
379633,49.2,15360,0,0.08,18.20961,NA
379634,49.3,15368,-0.11,0.08,18.86654,NA
379635,49.4,15377,-0.04,0.08,18.78829,NA
379636,49.5,15386,0.06,0.08,18.62665,NA
379637,49.6,15394,0.17,0.08,18.4539,NA
379638,49.7,15403,0.21,0.08,17.51039,NA
379639,49.8,15411,0.27,0.08,17.03561,NA
