year_CE,d18O
476.1,-4.0200
476.8,-4.0900
477.5,-4.1200
478.2,-4.1200
478.9,-4.0700
479.6,-4.0600
480.3,-4.1300
481.0,-4.0600
481.7,-4.0000
482.4,-4.0600
483.1,-3.8300
483.8,-3.8600
484.5,-3.8200
485.2,-3.7600
485.9,-3.6500
486.6,-3.7900
487.3,-3.7200
488.0,-3.8300
488.7,-3.8300
489.4,-3.8900
490.2,-3.9900
490.8,-3.9900
491.5,-3.9000
492.2,-3.8900
492.9,-4.2300
493.6,-3.9900
494.3,-4.3500
495.0,-3.9800
495.7,-4.3600
496.4,-4.4200
497.1,-4.2400
497.8,-4.2700
498.5,-4.5800
499.2,-4.6200
499.9,-4.5500
500.6,-4.5800
501.3,-4.7500
502.0,-4.6600
502.7,-4.5200
503.4,-4.6700
504.1,-4.5700
504.8,-4.4900
505.5,-4.7400
506.2,-4.0800
506.9,-4.1300
507.6,-4.2000
508.3,-4.2100
509.0,-4.4000
509.7,-4.1900
510.4,-4.6000
511.1,-3.7400
511.8,-3.8200
512.5,-4.3500
513.2,-4.2600
513.9,-4.1300
514.6,-3.9600
515.3,-3.8600
516.0,-4.0600
516.7,-3.7500
517.4,-3.7300
518.1,-3.7900
518.8,-3.5800
519.5,-3.5300
520.2,-3.5700
520.9,-3.9100
521.6,-3.8900
522.3,-4.1500
523.0,-3.9300
523.7,-3.8200
524.4,-3.9300
525.1,-3.8900
525.8,-4.0400
526.5,-4.1500
527.2,-4.1000
527.9,-4.1000
528.6,-4.4100
529.3,-4.3200
530.0,-4.2500
530.7,-4.5600
531.4,-4.5700
532.0,-4.4400
532.8,-4.3200
533.5,-4.2900
534.2,-4.2300
534.9,-4.0800
535.6,-3.8900
536.3,-4.0300
537.0,-4.2900
537.7,-4.1300
538.4,-4.0500
539.1,-4.1800
539.8,-4.0700
540.5,-4.0400
541.2,-4.1400
541.9,-4.1800
542.6,-4.1500
543.3,-4.1400
544.0,-4.1100
544.7,-4.0900
545.4,-4.1900
546.1,-4.2200
546.8,-4.1300
547.5,-4.0600
548.2,-4.0000
548.9,-4.1100
549.6,-4.0300
550.3,-4.0900
551.0,-4.0300
551.7,-4.0800
552.4,-4.0600
553.1,-4.1600
553.8,-4.1700
554.5,-4.2700
555.2,-4.1900
555.9,-4.1000
556.6,-3.9800
557.3,-3.9000
558.0,-3.8600
558.7,-4.0000
559.4,-4.0200
560.2,-3.8100
