depth_mm,age_AD,d18O,z_d18O,d13C,z_d13C
240.0,721.8,-4.14,-1.099,-8.63,-0.505
239.9,722.4,-4.13,-1.071,-8.61,-0.480
239.8,722.9,-4.06,-0.874,-8.65,-0.529
239.7,723.3,-4.05,-0.846,-8.4,-0.223
239.6,723.7,-3.94,-0.537,-8.34,-0.149
239.5,724.1,-4.13,-1.071,-8.46,-0.296
239.4,724.6,-4.2,-1.268,-8.56,-0.419
239.3,725.0,-4.11,-1.015,-8.36,-0.174
239.2,725.5,-4.07,-0.902,-8.44,-0.272
239.1,726.0,-3.97,-0.621,-8.44,-0.272
239.0,726.5,-4.01,-0.734,-8.42,-0.247
238.9,727.0,-3.81,-0.172,-8.26,-0.051
238.8,727.4,-3.7,0.138,-8.0,0.268
238.7,727.9,-3.7,0.138,-8.19,0.035
238.6,728.3,-3.66,0.250,-7.97,0.305
238.5,728.7,-3.64,0.306,-7.83,0.477
238.4,729.1,-3.72,0.081,-8.12,0.121
238.3,729.6,-3.75,-0.003,-8.44,-0.272
